scenario,scenario_label_he,product,product_label_he,unit_price,target_units,target_revenue,target_cpa,max_cpa,minimum_tracked_roas,gated_by_grow
conservative,שמרני,database,מאגר רווקים,299.0,350,104650.0,28.57,28.57,10.47,False
conservative,שמרני,holiday_bundle,באנדל חג מוצע,449.0,60,26940.0,75.0,100.0,4.5,False
conservative,שמרני,session,פגישת היכרות,500.0,8,4000.0,100.0,150.0,3.3,False
conservative,שמרני,guide,מדריך לבחור נכון,149.0,6,894.0,25.0,40.0,3.7,False
conservative,שמרני,course,קורס המסע,249.0,4,996.0,45.0,65.0,3.8,False
conservative,שמרני,coaching,ליווי אישי,3360.0,2,6720.0,400.0,600.0,5.0,False
conservative,שמרני,match_boost,Match Boost,19.99,40,799.6,3.5,5.0,4.0,True
conservative,שמרני,plus,Database Plus,99.0,10,990.0,15.0,25.0,3.9,True
base,יעד עבודה,database,מאגר רווקים,299.0,400,119600.0,25.0,28.57,11.96,False
base,יעד עבודה,holiday_bundle,באנדל חג מוצע,449.0,110,49390.0,75.0,100.0,4.5,False
base,יעד עבודה,session,פגישת היכרות,500.0,10,5000.0,100.0,150.0,3.3,False
base,יעד עבודה,guide,מדריך לבחור נכון,149.0,10,1490.0,25.0,40.0,3.7,False
base,יעד עבודה,course,קורס המסע,249.0,8,1992.0,45.0,65.0,3.8,False
base,יעד עבודה,coaching,ליווי אישי,3360.0,3,10080.0,400.0,600.0,5.0,False
base,יעד עבודה,match_boost,Match Boost,19.99,80,1599.2,3.5,5.0,4.0,True
base,יעד עבודה,plus,Database Plus,99.0,25,2475.0,15.0,25.0,3.9,True
stretch,מתיחה,database,מאגר רווקים,299.0,450,134550.0,25.0,28.57,11.96,False
stretch,מתיחה,holiday_bundle,באנדל חג מוצע,449.0,160,71840.0,75.0,100.0,4.5,False
stretch,מתיחה,session,פגישת היכרות,500.0,14,7000.0,100.0,150.0,3.3,False
stretch,מתיחה,guide,מדריך לבחור נכון,149.0,15,2235.0,25.0,40.0,3.7,False
stretch,מתיחה,course,קורס המסע,249.0,12,2988.0,45.0,65.0,3.8,False
stretch,מתיחה,coaching,ליווי אישי,3360.0,4,13440.0,400.0,600.0,5.0,False
stretch,מתיחה,match_boost,Match Boost,19.99,140,2798.6,3.5,5.0,4.0,True
stretch,מתיחה,plus,Database Plus,99.0,35,3465.0,15.0,25.0,3.9,True
